datetime,id,att_rating,def_rating,overall_rating
2023-08-11 19:00:00,92,984.197152,1021.57336,2005.770512
2023-08-11 19:00:00,88,1978.42664,2015.802848,3994.229488
2023-08-12 11:30:00,83,1779.6413907043404,1705.886637237619,3485.5280279419594
2023-08-12 11:30:00,249,1090.6844909429005,1142.9287879933208,2233.6132789362214
2023-08-12 14:00:00,73,1113.6819065740547,1115.7889425709423,2229.470849144997
2023-08-12 14:00:00,81,1315.4591879074947,1421.0323730851114,2736.491560992606
2023-08-12 14:00:00,220,1922.3489743527637,1538.7396714041909,3461.0886457569545
2023-08-12 14:00:00,256,1033.5490018551975,943.5280809884241,1977.0770828436216
2023-08-12 14:00:00,72,1299.283900571157,1084.2518353601786,2383.5357359313357
2023-08-12 14:00:00,228,1255.1187111398808,975.6035630347172,2230.722274174598
2023-08-12 14:00:00,238,979.988009213389,978.2015884612342,1958.1895976746232
2023-08-12 14:00:00,78,1135.564123783844,1552.8254920089746,2688.3896157928184
2023-08-12 16:30:00,86,1938.330742060165,1780.5503087739628,3718.8810508341276
2023-08-12 16:30:00,71,1316.555273789134,1382.7112161916816,2699.2664899808155
2023-08-13 13:00:00,244,1506.0468134523303,1536.4795112883648,3042.526324740695
2023-08-13 13:00:00,82,1462.552194225641,1515.73615625151,2978.2883504771507
2023-08-13 15:30:00,80,1359.4909454093133,1492.631679310819,2852.122624720132
2023-08-13 15:30:00,87,1903.7551643612364,1402.9395545781465,3306.694718939383
2023-08-14 19:00:00,89,1742.1460017374252,1541.1389920834156,3283.284993820841
2023-08-14 19:00:00,229,1027.5790683955354,1241.651726673999,2269.2307950695345
2023-08-18 18:45:00,249,1079.8602184438541,1169.392950809108,2249.253169252962
2023-08-18 18:45:00,238,953.5238463976018,989.0258609602806,1942.5497073578824
2023-08-19 14:00:00,229,1088.293122525136,1211.6532404906811,2299.946363015817
2023-08-19 14:00:00,220,1952.3474605360816,1478.0256172745903,3430.373077810672
2023-08-19 14:00:00,228,1225.4035787589614,934.0841033207637,2159.4876820797253
2023-08-19 14:00:00,244,1547.5662731662837,1566.1946436692842,3113.760916835568
2023-08-19 14:00:00,87,1928.7818345320388,1395.88465110443,3324.6664856364687
2023-08-19 14:00:00,73,1120.736810047771,1090.7622724001399,2211.499082447911
2023-08-19 16:30:00,82,1502.7112386092292,1489.744850720767,2992.4560893299963
2023-08-19 16:30:00,89,1768.1373072681681,1500.9799476998273,3269.1172549679954
2023-08-19 19:00:00,88,1962.5355855004284,2058.469955349262,4021.00554084969
2023-08-19 19:00:00,86,1895.6636347109031,1796.4413632735343,3692.1049979844374
2023-08-20 13:00:00,71,1367.7466101407715,1407.480330173371,2775.2269403141427
2023-08-20 13:00:00,72,1274.5147865894676,1033.060499008541,2307.5752855980086
2023-08-20 15:30:00,81,1329.5131233925838,1414.7640054942947,2744.2771288868785
2023-08-20 15:30:00,80,1365.75931300013,1478.5777438257298,2844.3370568258597
2023-08-21 19:00:00,78,1138.107495937331,1535.2996069722076,2673.4071029095385
2023-08-21 19:00:00,83,1797.1672757411075,1703.343265084132,3500.5105408252393
2023-08-25 19:00:00,80,1410.5050147408144,1499.557913626189,2910.062928367003
2023-08-25 19:00:00,256,1012.5688320547383,898.7823792477399,1911.351211302478
2023-08-26 11:30:00,73,1097.521498293277,1083.7550909555193,2181.2765892487964
2023-08-26 11:30:00,82,1509.7184200538497,1512.960162475261,3022.678582529111
2023-08-26 14:00:00,83,1809.5835650102217,1711.5980374809017,3521.181602491123
2023-08-26 14:00:00,228,1217.1488063621919,921.6678140516494,2138.8166204138415
2023-08-26 14:00:00,244,1527.263222449648,1567.252892431991,3094.516114881639
2023-08-26 14:00:00,78,1137.049247174624,1555.6026576888432,2692.6519048634673
2023-08-26 14:00:00,72,1286.0383430926706,1039.4655313052153,2325.5038743978857
2023-08-26 14:00:00,229,1081.8880902284616,1200.129683987478,2282.0177742159394
2023-08-26 14:00:00,89,1795.4976869519755,1505.256791187874,3300.754478139849
2023-08-26 14:00:00,249,1075.5833749558076,1142.0325711253006,2217.615946081108
2023-08-26 16:30:00,220,1927.3032860219441,1420.3024797428604,3347.6057657648043
2023-08-26 16:30:00,81,1387.2362609243137,1439.8081800084321,2827.0444409327456
2023-08-27 13:00:00,92,969.138797759649,991.7431933654354,1960.8819911250844
2023-08-27 13:00:00,71,1397.576776775336,1422.538684413722,2820.115461189058
2023-08-27 13:00:00,238,955.950334303222,957.6492526507749,1913.599586953997
2023-08-27 13:00:00,88,1993.912193809934,2056.043467443642,4049.955661253576
2023-08-27 15:30:00,86,1880.6629323091263,1823.599086154404,3704.2620184635302
2023-08-27 15:30:00,87,1901.6241116511692,1410.885353506207,3312.5094651573763
2023-09-01 19:00:00,256,1047.4002820812937,938.019235969632,1985.4195180509255
2023-09-01 19:00:00,81,1347.9994042024216,1404.9767299818768,2752.9761341842986
2023-09-02 11:30:00,238,962.9889299586689,931.5729220380243,1894.5618519966933
2023-09-02 11:30:00,72,1312.1146737054212,1032.4269356497684,2344.5416093551894
2023-09-02 14:00:00,88,1949.1447173263507,2035.2969877205599,3984.4417050469106
2023-09-02 14:00:00,228,1237.895286085274,966.4352905352326,2204.3305766205067
2023-09-02 14:00:00,244,1561.7512511944326,1529.1035268550963,3090.854778049529
2023-09-02 14:00:00,73,1135.6708638701718,1049.2670622107348,2184.9379260809064
2023-09-02 14:00:00,92,994.5261035465965,987.624126727996,1982.1502302745926
2023-09-02 14:00:00,82,1513.8374866912893,1487.5728566883135,3001.4103433796026
